experiment,system,plant_no,target_total_weight_g,harvest_plant_height_cm,harvest_shoot_weight_g,harvest_root_weight_g,harvest_root_length_cm,harvest_no_of_leaves,head_diameter_average_cm,canopy_area_cm2,replicate,water_ph_mean,water_ph_min,water_ph_max,water_ph_std,water_ec_mean,water_ec_min,water_ec_max,water_ec_std,water_tds_mean,water_tds_min,water_tds_max,water_tds_std,water_water_temperature_mean,water_water_temperature_min,water_water_temperature_max,water_water_temperature_std,total_nutrient_solution_added_ml,total_water_consumption_l,total_acid_consumption_ml,env_air_temperature_mean,env_air_temperature_min,env_air_temperature_max,env_air_temperature_std,env_humidity_mean,env_humidity_min,env_humidity_max,env_humidity_std,env_co2_mean,env_co2_min,env_co2_max,env_co2_std,initial_height_mean_cm,initial_weight_mean_g,initial_root_length_mean_cm
Experiment 1,R1-T2,10,269.0,63.0,255.0,9.0,50.0,25.0,27.0,729.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,11,281.0,67.0,142.0,126.0,52.0,24.0,27.0,728.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T2,12,229.0,50.0,210.0,14.0,37.0,23.0,28.0,783.0,R1,6.068421052631578,5.5,6.9,0.38189641965624715,1.8478947368421053,1.15,2.03,0.17465993868894342,0.8120731707317074,0.0,1.015,0.3140801039849782,24.2578947368421,19.1,28.3,1.978387378775606,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,1,187.0,55.0,152.0,31.0,41.5,23.0,24.5,600.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,2,265.0,63.0,225.0,31.0,50.0,24.0,27.5,756.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,3,262.0,60.0,224.0,28.0,44.0,21.0,27.5,756.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,4,244.0,63.0,200.0,34.0,51.0,22.0,29.5,870.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,5,280.0,58.0,257.0,18.0,45.0,22.0,26.5,702.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,6,228.0,54.0,184.0,38.0,42.5,21.0,28.0,783.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,7,305.0,68.0,260.0,40.0,49.0,23.0,29.0,841.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
Experiment 1,R1-T3,8,209.0,61.0,173.0,33.0,47.5,21.0,25.5,650.0,R1,6.002631578947369,5.3,6.9,0.408776635768409,1.8276315789473685,1.29,2.03,0.17874466073036188,0.8080487804878049,0.0,1.015,0.31199569659473625,24.30526315789474,18.9,28.1,1.9266752612536628,350.0,50.0,70.0,19.931125,9.81,37.27,5.074280539056289,57.39781250000001,41.16,67.65,5.6814177429953645,456.084,401.85,554.7,31.700286604846667,9.75,1.224,7.1
